port-au-prince;18.533333;-72.333333
tegucigalpa;14.100000;-87.216667
budapest;47.500000;19.083333
reykjavik;64.150000;-21.950000
new delhi;28.600000;77.200000
jakarta;-6.166667;106.816667
tehran;35.700000;51.416667
baghdad;33.333333;44.400000
dublin;53.316667;-6.233333
rome;41.900000;12.483333
kingston;18.000000;-76.800000
tokyo;35.683333;139.750000
amman;31.950000;35.933333
astana;51.166667;71.416667
nairobi;-1.283333;36.816667
tarawa;-0.883333;169.533333
pristina;42.666667;21.166667
kuwait;42.666667;21.166667
bishkek;42.866667;74.600000
vientiane;17.966667;102.600000
riga;56.950000;24.100000
beirut;33.866667;35.500000
maseru;-29.316667;27.483333
monrovia;6.300000;-10.800000
tripoli;32.883333;13.166667
vaduz;47.133333;9.516667
vilnius;54.683333;25.316667
luxembourg;49.600000;6.116667
skopje;42.000000;21.433333
antananarivo;-18.916667;47.516667
lilongwe;-13.966667;33.783333
kuala lumpur;3.166667;101.700000
male;4.166667;73.500000
bamako;12.650000;-8.000000
valletta;35.883333;14.500000
majuro;7.100000;171.383333
nouakchott;18.066667;-15.966667
port louis;-20.150000;57.483333
mexico city;19.433333;-99.133333
chisinau;47.000000;28.850000
monaco;43.733333;7.416667
ulaanbaatar;47.916667;106.916667
podgorica;42.433333;19.266667
rabat;34.016667;-6.816667
maputo;-25.950000;32.583333
naypyidaw;96.129720;19.745000
windhoek;-22.566667;17.083333
yaren;-0.547700;166.920867
kathmandu;27.716667;85.316667
amsterdam;52.350000;4.916667
wellington;-41.300000;174.783333
managua;12.133333;-86.250000
niamey;13.516667;2.116667
abuja;9.083333;7.533333
kingston;-29.050000;167.966667
pyongyang;39.016667;125.750000
oslo;59.916667;10.750000
muscat;23.616667;58.583333
islamabad;33.683333;73.050000
jerusalem;31.766667;35.233333
panama city;8.966667;-79.533333
port moresby;-9.450000;147.183333
asuncion;-25.266667;-57.666667
lima;-12.050000;-77.050000
manila;14.600000;120.966667
warsaw;52.250000;21.000000
lisbon;38.716667;-9.133333
san juan;18.466667;-66.116667
doha;25.283333;51.533333
brazzaville;-4.250000;15.283333
bucharest;44.433333;26.100000
moscow;55.750000;37.600000
kigali;-1.950000;30.050000
basseterre;17.300000;-62.716667
castries;14.000000;-61.000000
kingstown;13.133333;-61.216667
apia;-13.816667;-171.766667
san marino;43.933333;12.416667
sao tome;0.333333;6.733333
riyadh;24.650000;46.700000
dakar;14.733333;-17.633333
belgrade;44.833333;20.500000
victoria;-4.616667;55.450000
freetown;8.483333;-13.233333
singapore;1.283333;103.850000
bratislava;48.150000;17.116667
ljubljana;46.050000;14.516667
honiara;-9.433333;159.950000
mogadishu;2.066667;45.333333
pretoria;-25.700000;28.216667
seoul;37.550000;126.983333
juba;4.850000;31.616667
madrid;40.400000;-3.683333
sri jayawardenepura kotte;79.886031;6.906496
khartoum;15.600000;32.533333
paramaribo;5.833333;-55.166667
longyearbyen;78.216667;15.633333
mbabane;-26.316667;31.133333
stockholm;59.333333;18.050000
bern;46.916667;7.466667
damascus;33.500000;36.300000
taipei;25.033333;121.516667
dushanbe;38.550000;68.766667
dodoma;-5.969983;35.741218
bangkok;13.750000;100.516667
banjul;13.450000;-16.566667
dili;-8.583333;125.600000
lome;6.116667;1.216667
nuku’alofa;-21.133333;-175.200000
port of spain;10.650000;-61.516667
tunis;36.800000;10.183333
ankara;39.933333;32.866667
ashgabat;37.950000;58.383333
funafuti;-8.516667;179.216667
kampala;0.316667;32.550000
kyiv;50.433333;30.516667
abu dhabi;24.466667;54.366667
london;51.500000;-0.083333
washington, d.c.;38.883333;-77.000000
montevideo;-34.850000;-56.166667
tashkent;41.316667;69.250000
port-vila;-17.733333;168.316667
vatican city;41.900000;12.450000
caracas;10.483333;-66.866667
hanoi;21.033333;105.850000
sanaa;15.350000;44.200000
lusaka;-15.416667;28.283333
harare;-17.816667;31.033333
